Survey Question ID,Survey Question English Text,Response Option,Total,Male,Female,Up to 29,30-49,50 and more,Married,Single,Divorced,No children,1 child,2 children,3 children,4 or more children
Q4,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Politics",Rather important,%35.32,%39.02,%31.62,%35.9,%35.08,%35.06,%34.8,%36.4,%40.32,%36.24,%36.98,%35.2,%33.72,%30.29
Q4,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Politics",Not very important,%29.73,%25.68,%33.77,%30.72,%30.11,%27.92,%28.12,%31.67,%30.65,%31.31,%31.77,%28.74,%24.52,%27.88
Q4,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Politics",Not at all important,%13.13,%9.2,%17.05,%15.85,%11.88,%12.18,%13.03,%13.67,%6.45,%13.04,%13.54,%12.76,%13.41,%13.46
Q4,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Politics",Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q4,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Politics",No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q4,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Politics",Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q5,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Work",Very important,%45.92,%52.44,%39.4,%45.58,%49.45,%40.1,%46.76,%45.47,%50.0,%45.28,%42.45,%46.77,%53.26,%43.75
Q5,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Work",Rather important,%37.81,%36.21,%39.4,%38.71,%35.91,%40.1,%36.74,%39.72,%43.55,%39.43,%40.89,%36.9,%29.89,%37.02
Q5,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Work",Not very important,%13.33,%9.78,%16.89,%13.32,%12.34,%15.1,%12.89,%13.15,%6.45,%12.94,%15.1,%13.1,%13.79,%12.02
Q5,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Work",Not at all important,%2.48,%1.24,%3.73,%1.82,%2.03,%4.06,%3.21,%1.15,%0,%1.95,%1.56,%2.38,%3.07,%6.25
Q5,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Work",Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q5,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Work",No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q5,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Work",Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q6,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion",Very important,%60.0,%59.9,%60.1,%55.4,%58.56,%67.86,%65.4,%50.83,%46.77,%51.95,%53.39,%65.82,%77.01,%72.12
Q6,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion",Rather important,%28.36,%29.33,%27.4,%31.98,%29.01,%23.05,%25.18,%34.1,%32.26,%33.37,%31.25,%26.02,%15.71,%22.12
Q6,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion",Not very important,%10.35,%9.61,%11.09,%11.36,%11.33,%7.47,%8.42,%13.67,%14.52,%13.35,%13.8,%6.8,%6.13,%5.29
Q6,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion",Not at all important,%1.04,%0.83,%1.24,%0.84,%0.92,%1.46,%0.8,%1.02,%6.45,%1.03,%1.3,%1.19,%1.15,%0
Q6,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion",Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q6,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion",No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q6,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion",Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q7,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Good manners",Mentioned,%80.04,%79.29,%80.79,%75.04,%81.58,%83.12,%82.7,%75.48,%72.58,%77.72,%80.99,%81.97,%80.84,%82.69
Q7,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Good manners",Not mentioned,%16.44,%17.48,%15.4,%20.48,%15.47,%13.47,%14.3,%20.18,%24.19,%18.48,%16.67,%15.14,%13.79,%13.46
Q7,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Good manners",Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q7,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Good manners",No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q7,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Good manners",Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q8,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Independence",Mentioned,%29.65,%29.33,%29.97,%31.14,%28.64,%29.71,%28.52,%32.44,%24.19,%31.93,%29.43,%25.51,%32.95,%26.92
Q8,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Independence",Not mentioned,%64.1,%65.29,%62.91,%60.87,%66.02,%64.45,%65.33,%60.92,%70.97,%61.7,%65.89,%68.88,%60.54,%62.98
Q8,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Independence",Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q8,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Independence",No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q8,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Independence",Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q9,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Hard work",Mentioned,%62.28,%63.05,%61.51,%59.19,%63.17,%64.29,%61.92,%62.58,%66.13,%63.35,%60.94,%59.01,%63.6,%67.31
Q9,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Hard work",Not mentioned,%33.66,%33.55,%33.77,%35.48,%33.24,%32.31,%34.34,%32.44,%32.26,%32.14,%36.98,%37.24,%31.42,%27.4
Q9,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Hard work",Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q9,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Hard work",No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q9,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Hard work",Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q10,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Feeling of responsibility",Mentioned,%60.91,%61.14,%60.68,%58.63,%61.05,%63.31,%60.52,%61.17,%56.45,%61.81,%56.25,%60.37,%67.43,%58.65
Q10,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Feeling of responsibility",Not mentioned,%35.57,%35.87,%35.26,%37.59,%34.99,%34.25,%35.67,%35.76,%40.32,%35.11,%39.06,%36.39,%29.89,%36.06
Q10,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Feeling of responsibility",Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q10,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Feeling of responsibility",No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q10,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Feeling of responsibility",Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q11,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Imagination",Mentioned,%17.23,%17.81,%16.64,%18.23,%16.3,%17.69,%16.63,%18.52,%16.13,%19.4,%15.1,%15.14,%19.54,%13.94
Q11,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Imagination",Not mentioned,%72.63,%72.41,%72.85,%71.11,%73.48,%72.89,%73.08,%71.26,%79.03,%70.84,%78.12,%75.17,%66.28,%71.63
Q11,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Imagination",Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q11,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Imagination",No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q11,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Imagination",Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q12,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Tolerance and respect for other people",Mentioned,%63.31,%62.39,%64.24,%64.52,%62.43,%63.47,%63.59,%62.71,%64.52,%63.55,%61.98,%67.18,%64.75,%51.92
Q12,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Tolerance and respect for other people",Not mentioned,%31.72,%33.39,%30.05,%29.59,%33.61,%30.84,%31.6,%31.8,%33.87,%31.31,%33.85,%29.25,%29.12,%39.9
Q12,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Tolerance and respect for other people",Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q12,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Tolerance and respect for other people",No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q12,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Tolerance and respect for other people",Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q13,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Thrift, saving money and things",Mentioned,%36.36,%36.29,%36.42,%32.26,%36.74,%40.42,%36.27,%34.74,%43.55,%33.57,%42.71,%36.9,%34.87,%37.98
Q13,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Thrift, saving money and things",Not mentioned,%56.11,%56.75,%55.46,%57.92,%57.09,%52.27,%56.18,%57.34,%50.0,%58.52,%51.82,%56.63,%56.7,%50.48
Q13,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Thrift, saving money and things",Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q13,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Thrift, saving money and things",No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q13,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Thrift, saving money and things",Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q14,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Determination, perseverance",Mentioned,%38.39,%38.44,%38.33,%38.29,%38.4,%38.47,%38.61,%37.42,%46.77,%36.14,%40.36,%40.99,%39.85,%36.06
Q14,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Determination, perseverance",Not mentioned,%53.29,%53.27,%53.31,%53.02,%53.5,%53.25,%52.97,%53.51,%50.0,%55.54,%53.39,%51.7,%47.89,%53.85
Q14,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Determination, perseverance",Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q14,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Determination, perseverance",No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q14,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Determination, perseverance",Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q15,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Religious faith",Mentioned,%40.62,%40.27,%40.98,%36.89,%41.44,%43.51,%44.69,%33.72,%32.26,%33.78,%43.75,%39.97,%53.26,%52.88
Q15,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Religious faith",Not mentioned,%50.81,%51.12,%50.5,%52.73,%50.64,%48.86,%47.43,%56.45,%59.68,%57.08,%51.04,%52.55,%35.63,%35.1
Q15,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Religious faith",Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q15,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Religious faith",No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q15,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Religious faith",Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q16,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Not being selfish (unselfishness)",Mentioned,%25.18,%26.43,%23.92,%28.05,%25.41,%21.43,%25.05,%25.8,%22.58,%25.67,%24.22,%27.72,%25.67,%16.83
Q16,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Not being selfish (unselfishness)",Not mentioned,%64.51,%64.04,%64.98,%59.47,%65.56,%68.51,%65.13,%62.58,%70.97,%63.76,%67.97,%62.76,%62.07,%69.71
Q16,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Not being selfish (unselfishness)",Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q16,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Not being selfish (unselfishness)",No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q16,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Not being selfish (unselfishness)",Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q17,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Obedience",Mentioned,%34.08,%35.54,%32.62,%35.62,%34.81,%31.01,%35.34,%32.31,%35.48,%32.03,%35.42,%37.41,%30.65,%36.06
Q17,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Obedience",Not mentioned,%55.69,%54.52,%56.87,%53.72,%55.34,%58.6,%54.24,%57.6,%58.06,%58.73,%56.25,%53.74,%54.41,%47.6
Q17,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Obedience",Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q17,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Obedience",No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q17,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Obedience",Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q18,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Drug addicts,Mentioned,%88.86,%87.9,%89.82,%85.83,%88.95,%92.21,%90.38,%87.1,%80.65,%86.34,%88.54,%90.99,%94.64,%87.98
Q18,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Drug addicts,Not mentioned,%10.43,%11.27,%9.6,%13.32,%10.31,%7.31,%9.15,%12.13,%16.13,%12.83,%10.42,%8.5,%5.36,%11.06
Q18,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Drug addicts,Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q18,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Drug addicts,No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q18,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Drug addicts,Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q19,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? People of a different race,Mentioned,%41.2,%39.19,%43.21,%36.04,%41.62,%46.43,%44.62,%35.38,%33.87,%35.42,%43.49,%46.43,%48.66,%39.9
Q19,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? People of a different race,Not mentioned,%57.18,%59.49,%54.88,%62.13,%56.81,%52.11,%53.91,%62.96,%62.9,%62.73,%55.73,%52.38,%49.81,%56.73
Q19,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? People of a different race,Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q19,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? People of a different race,No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q19,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? People of a different race,Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q20,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? People who have AIDS,Mentioned,%70.68,%69.76,%71.61,%68.02,%70.35,%74.35,%72.95,%67.31,%61.29,%67.25,%68.23,%79.08,%71.65,%66.35
Q20,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? People who have AIDS,Not mentioned,%25.13,%26.1,%24.17,%28.05,%25.41,%21.27,%23.05,%28.86,%27.42,%28.85,%27.6,%18.03,%22.61,%26.44
Q20,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? People who have AIDS,Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q20,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? People who have AIDS,No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q20,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? People who have AIDS,Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q21,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Immigrants/foreign workers,Mentioned,%48.07,%47.39,%48.76,%44.46,%47.79,%52.76,%51.57,%42.02,%43.55,%42.61,%42.97,%56.46,%57.09,%48.08
Q21,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Immigrants/foreign workers,Not mentioned,%49.23,%49.88,%48.59,%51.89,%49.54,%45.62,%46.09,%54.79,%50.0,%53.7,%55.21,%41.84,%41.38,%48.08
Q21,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Immigrants/foreign workers,Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q21,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Immigrants/foreign workers,No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q21,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Immigrants/foreign workers,Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q22,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Homosexuals,Mentioned,%75.78,%75.72,%75.83,%69.99,%76.61,%81.01,%80.56,%68.2,%54.84,%67.97,%75.0,%82.31,%85.82,%82.69
Q22,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Homosexuals,Not mentioned,%20.7,%20.8,%20.61,%24.82,%19.89,%17.37,%16.7,%26.95,%40.32,%27.1,%22.66,%15.65,%10.73,%13.94
Q22,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Homosexuals,Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
