Cinsiyet,Yaş Grubu,Medeni Durum,Çocuk Sahipliği,Eğitim Düzeyi,İş Durumu,Sosyal Sınıf,Yerleşim Yeri,Count,Prompt
Erkek,30 yaşından küçük,Evli,Çocuğu yok,Üniversite mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın üst kısmında,"100,000 - 499,999 kişi arası",2,"Ahmet, 25 yaşında evli bir erkek, çocuğu yok, üniversite mezunu, 300000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın üst kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuğu yok,Üniversite mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın alt kısmında,"5,000 - 19,999 kişi arası",1,"Ahmet, 22 yaşında evli bir erkek, çocuğu yok, üniversite mezunu, 10000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuğu yok,Üniversite mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,"Çalışan, işçi, emekçi sınıfı","100,000 - 499,999 kişi arası",1,"Ahmet, 22 yaşında evli bir erkek, çocuğu yok, üniversite mezunu, 440000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuğu yok,Üniversite mezunu,Ücretli ve yarı zamanlı (yani haftada 30 saatten az) çalışıyor,Orta sınıfın alt kısmında,"5,000 - 19,999 kişi arası",1,"Ahmet, 20 yaşında evli bir erkek, çocuğu yok, üniversite mezunu, 13000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuğu yok,Üniversite mezunu,Kendi işinin sahibi,Orta sınıfın üst kısmında,"100,000 - 499,999 kişi arası",1,"Ahmet, 22 yaşında evli bir erkek, çocuğu yok, üniversite mezunu, 110000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın üst kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın alt kısmında,"20,000 - 99,999 kişi arası",3,"Ahmet, 20 yaşında evli bir erkek, çocuk sahibi, i̇lkokul mezunu, 69000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın alt kısmında,"100,000 - 499,999 kişi arası",1,"Ahmet, 25 yaşında evli bir erkek, çocuk sahibi, i̇lkokul mezunu, 290000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,"Çalışan, işçi, emekçi sınıfı","20,000 - 99,999 kişi arası",2,"Ahmet, 25 yaşında evli bir erkek, çocuk sahibi, i̇lkokul mezunu, 72000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Alt sınıf,"100,000 - 499,999 kişi arası",1,"Ahmet, 19 yaşında evli bir erkek, çocuk sahibi, i̇lkokul mezunu, 390000 nüfusa sahip bir şehirde yaşıyor ve kendisini alt sınıf olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,İlkokul mezunu,Ücretli ve yarı zamanlı (yani haftada 30 saatten az) çalışıyor,Orta sınıfın alt kısmında,"500,000 veya daha fazla kişi",1,"Ahmet, 28 yaşında evli bir erkek, çocuk sahibi, i̇lkokul mezunu, 2800000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,İlkokul mezunu,Kendi işinin sahibi,Orta sınıfın üst kısmında,"100,000 - 499,999 kişi arası",1,"Ahmet, 20 yaşında evli bir erkek, çocuk sahibi, i̇lkokul mezunu, 350000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın üst kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,İlkokul mezunu,İşsiz/iş arıyor,Orta sınıfın alt kısmında,"5,000 - 19,999 kişi arası",1,"Ahmet, 18 yaşında evli bir erkek, çocuk sahibi, i̇lkokul mezunu, 10000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,Ortaokuldan ayrılmış,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın alt kısmında,"100,000 - 499,999 kişi arası",1,"Ahmet, 29 yaşında evli bir erkek, çocuk sahibi, ortaokuldan ayrılmış, 390000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,Ortaokuldan ayrılmış,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,"Çalışan, işçi, emekçi sınıfı","100,000 - 499,999 kişi arası",1,"Ahmet, 18 yaşında evli bir erkek, çocuk sahibi, ortaokuldan ayrılmış, 200000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,Ortaokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,"Çalışan, işçi, emekçi sınıfı","100,000 - 499,999 kişi arası",1,"Ahmet, 24 yaşında evli bir erkek, çocuk sahibi, ortaokul mezunu, 140000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,Ortaokul mezunu,Kendi işinin sahibi,Orta sınıfın üst kısmında,"500,000 veya daha fazla kişi",1,"Ahmet, 27 yaşında evli bir erkek, çocuk sahibi, ortaokul mezunu, 1000000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın üst kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,Ortaokul mezunu,İşsiz/iş arıyor,Alt sınıf,"5,000’den daha az kişi",1,"Ahmet, 28 yaşında evli bir erkek, çocuk sahibi, ortaokul mezunu, 3200 nüfusa sahip bir şehirde yaşıyor ve kendisini alt sınıf olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,Lise mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın üst kısmında,"100,000 - 499,999 kişi arası",1,"Ahmet, 18 yaşında evli bir erkek, çocuk sahibi, lise mezunu, 280000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın üst kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,Lise mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın alt kısmında,"5,000 - 19,999 kişi arası",1,"Ahmet, 22 yaşında evli bir erkek, çocuk sahibi, lise mezunu, 12000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,Lise mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın alt kısmında,"20,000 - 99,999 kişi arası",2,"Ahmet, 24 yaşında evli bir erkek, çocuk sahibi, lise mezunu, 67000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,Lise mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın alt kısmında,"100,000 - 499,999 kişi arası",3,"Ahmet, 19 yaşında evli bir erkek, çocuk sahibi, lise mezunu, 130000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,Lise mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,"Çalışan, işçi, emekçi sınıfı","100,000 - 499,999 kişi arası",3,"Ahmet, 26 yaşında evli bir erkek, çocuk sahibi, lise mezunu, 320000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,Lise mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Alt sınıf,"100,000 - 499,999 kişi arası",2,"Ahmet, 21 yaşında evli bir erkek, çocuk sahibi, lise mezunu, 440000 nüfusa sahip bir şehirde yaşıyor ve kendisini alt sınıf olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,Lise mezunu,Emekli,Alt sınıf,"100,000 - 499,999 kişi arası",1,"Ahmet, 24 yaşında evli bir erkek, çocuk sahibi, lise mezunu, 450000 nüfusa sahip bir şehirde yaşıyor ve kendisini alt sınıf olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,Üniversite mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın üst kısmında,"100,000 - 499,999 kişi arası",2,"Ahmet, 23 yaşında evli bir erkek, çocuk sahibi, üniversite mezunu, 340000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın üst kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,Üniversite mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın alt kısmında,"100,000 - 499,999 kişi arası",2,"Ahmet, 26 yaşında evli bir erkek, çocuk sahibi, üniversite mezunu, 370000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuk sahibi,Üniversite mezunu,İşsiz/iş arıyor,"Çalışan, işçi, emekçi sınıfı","100,000 - 499,999 kişi arası",1,"Ahmet, 26 yaşında evli bir erkek, çocuk sahibi, üniversite mezunu, 200000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli gibi birlikte yaşamakta,Çocuk sahibi,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,"Çalışan, işçi, emekçi sınıfı","100,000 - 499,999 kişi arası",1,"Ahmet, 25 yaşında evli gibi birlikte yaşamakta bir erkek, çocuk sahibi, i̇lkokul mezunu, 480000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Boşanmış,Çocuğu yok,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,"Çalışan, işçi, emekçi sınıfı","5,000 - 19,999 kişi arası",1,"Ahmet, 22 yaşında boşanmış bir erkek, çocuğu yok, i̇lkokul mezunu, 9000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Hiç okula gitmemiş,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,"Çalışan, işçi, emekçi sınıfı","100,000 - 499,999 kişi arası",1,"Ahmet, 27 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, 180000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Hiç okula gitmemiş,İşsiz/iş arıyor,Alt sınıf,"500,000 veya daha fazla kişi",1,"Ahmet, 18 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, 4400000 nüfusa sahip bir şehirde yaşıyor ve kendisini alt sınıf olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokuldan ayrılmış,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın üst kısmında,"100,000 - 499,999 kişi arası",1,"Ahmet, 20 yaşında bekâr bir erkek, çocuğu yok, i̇lkokuldan ayrılmış, 370000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın üst kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokuldan ayrılmış,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın alt kısmında,"100,000 - 499,999 kişi arası",1,"Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, i̇lkokuldan ayrılmış, 290000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokuldan ayrılmış,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,"Çalışan, işçi, emekçi sınıfı","100,000 - 499,999 kişi arası",3,"Ahmet, 29 yaşında bekâr bir erkek, çocuğu yok, i̇lkokuldan ayrılmış, 230000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokuldan ayrılmış,Öğrenci,Orta sınıfın üst kısmında,"100,000 - 499,999 kişi arası",1,"Ahmet, 29 yaşında bekâr bir erkek, çocuğu yok, i̇lkokuldan ayrılmış, 420000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın üst kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokuldan ayrılmış,İşsiz/iş arıyor,Orta sınıfın alt kısmında,"100,000 - 499,999 kişi arası",1,"Ahmet, 23 yaşında bekâr bir erkek, çocuğu yok, i̇lkokuldan ayrılmış, 300000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokuldan ayrılmış,İşsiz/iş arıyor,"Çalışan, işçi, emekçi sınıfı","20,000 - 99,999 kişi arası",1,"Ahmet, 29 yaşında bekâr bir erkek, çocuğu yok, i̇lkokuldan ayrılmış, 49000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın üst kısmında,"5,000 - 19,999 kişi arası",1,"Ahmet, 29 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 8000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın üst kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın üst kısmında,"20,000 - 99,999 kişi arası",1,"Ahmet, 25 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 87000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın üst kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın üst kısmında,"100,000 - 499,999 kişi arası",5,"Ahmet, 25 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 450000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın üst kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın üst kısmında,"500,000 veya daha fazla kişi",3,"Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 2100000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın üst kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın alt kısmında,"5,000’den daha az kişi",1,"Ahmet, 27 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 1500 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın alt kısmında,"5,000 - 19,999 kişi arası",1,"Ahmet, 22 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 13000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın alt kısmında,"20,000 - 99,999 kişi arası",4,"Ahmet, 28 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 40000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın alt kısmında,"100,000 - 499,999 kişi arası",6,"Ahmet, 20 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 140000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,"Çalışan, işçi, emekçi sınıfı","5,000’den daha az kişi",1,"Ahmet, 28 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 1600 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,"Çalışan, işçi, emekçi sınıfı","20,000 - 99,999 kişi arası",4,"Ahmet, 28 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 94000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,"Çalışan, işçi, emekçi sınıfı","100,000 - 499,999 kişi arası",13,"Ahmet, 27 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 260000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,"Çalışan, işçi, emekçi sınıfı","500,000 veya daha fazla kişi",2,"Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 600000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Alt sınıf,"5,000’den daha az kişi",1,"Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 4300 nüfusa sahip bir şehirde yaşıyor ve kendisini alt sınıf olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve yarı zamanlı (yani haftada 30 saatten az) çalışıyor,Orta sınıfın üst kısmında,"500,000 veya daha fazla kişi",2,"Ahmet, 20 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 2800000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın üst kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve yarı zamanlı (yani haftada 30 saatten az) çalışıyor,Orta sınıfın alt kısmında,"5,000 - 19,999 kişi arası",1,"Ahmet, 18 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 16000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve yarı zamanlı (yani haftada 30 saatten az) çalışıyor,Orta sınıfın alt kısmında,"100,000 - 499,999 kişi arası",1,"Ahmet, 19 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 210000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve yarı zamanlı (yani haftada 30 saatten az) çalışıyor,"Çalışan, işçi, emekçi sınıfı","100,000 - 499,999 kişi arası",3,"Ahmet, 19 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 330000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve yarı zamanlı (yani haftada 30 saatten az) çalışıyor,"Çalışan, işçi, emekçi sınıfı","500,000 veya daha fazla kişi",1,"Ahmet, 25 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 3300000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,İlkokul mezunu,Ücretli ve yarı zamanlı (yani haftada 30 saatten az) çalışıyor,Alt sınıf,"100,000 - 499,999 kişi arası",1,"Ahmet, 27 yaşında bekâr bir erkek, çocuğu yok, i̇lkokul mezunu, 430000 nüfusa sahip bir şehirde yaşıyor ve kendisini alt sınıf olarak tanımlıyor."
