Survey Question ID,Survey Question English Text,Response Option,Total,Male,Female,Up to 29,30-49,50 and more,Married,Single,Divorced,No children,1 child,2 children,3 children,4 or more children,No education,Primary education,Lower secondary,Upper secondary,Bachelor,Full-time employee,Part-time employee,Self-employed,Retired/pensioned,Housewife,Student,Unemployed,Other,Upper class,Upper middle class,Lower middle class,Working class,Lower class
Q3,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Leisure time",Not very important,%6.71,%5.8,%7.62,%6.03,%6.45,%7.95,%7.28,%5.75,%0,%5.75,%8.07,%5.44,%8.05,%10.58,%10.11,%7.53,%5.47,%5.81,%4.85,%6.0,%9.18,%5.56,%8.97,%8.66,%7.02,%2.48,%5.0,%8.0,%5.43,%7.72,%7.09,%7.47
Q3,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Leisure time",Not at all important,%0.66,%0.75,%0.58,%0.28,%0.74,%0.97,%1.0,%0,%0,%0.1,%0.52,%0.85,%1.53,%1.92,%1.08,%0.91,%1.17,%0.34,%0,%0.49,%0,%1.28,%2.07,%0.49,%0,%0.62,%0,%0,%0.73,%0.39,%0.89,%0.57
Q4,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Politics",Very important,%20.91,%25.27,%16.56,%16.55,%21.82,%24.35,%23.11,%17.24,%22.58,%18.48,%16.67,%22.45,%27.97,%26.92,%21.66,%18.15,%21.88,%23.25,%22.33,%23.3,%17.35,%25.21,%26.21,%15.03,%14.91,%22.36,%30.0,%16.0,%20.7,%18.15,%24.82,%20.11
Q4,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Politics",Rather important,%35.32,%39.02,%31.62,%35.9,%35.08,%35.06,%34.8,%36.4,%40.32,%36.24,%36.98,%35.2,%33.72,%30.29,%30.32,%36.64,%35.94,%33.5,%37.62,%35.59,%37.76,%41.88,%40.69,%29.9,%32.46,%40.37,%40.0,%40.0,%37.44,%34.23,%32.5,%42.53
Q4,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Politics",Not very important,%29.73,%25.68,%33.77,%30.72,%30.11,%27.92,%28.12,%31.67,%30.65,%31.31,%31.77,%28.74,%24.52,%27.88,%28.16,%31.28,%26.95,%29.91,%29.37,%30.48,%21.43,%22.65,%24.83,%33.33,%32.46,%28.57,%30.0,%36.0,%27.17,%35.26,%27.62,%24.14
Q4,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Politics",Not at all important,%13.13,%9.2,%17.05,%15.85,%11.88,%12.18,%13.03,%13.67,%6.45,%13.04,%13.54,%12.76,%13.41,%13.46,%19.49,%12.79,%14.45,%12.14,%10.19,%9.93,%22.45,%9.4,%8.28,%20.75,%18.42,%6.83,%0,%8.0,%13.95,%11.58,%13.88,%13.22
Q5,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Work",Very important,%45.92,%52.44,%39.4,%45.58,%49.45,%40.1,%46.76,%45.47,%50.0,%45.28,%42.45,%46.77,%53.26,%43.75,%37.55,%43.38,%45.7,%50.09,%51.94,%52.02,%50.0,%61.54,%42.07,%29.9,%42.98,%44.72,%75.0,%40.0,%50.66,%39.77,%49.19,%41.95
Q5,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Work",Rather important,%37.81,%36.21,%39.4,%38.71,%35.91,%40.1,%36.74,%39.72,%43.55,%39.43,%40.89,%36.9,%29.89,%37.02,%41.16,%37.79,%38.28,%36.41,%36.17,%36.48,%43.88,%31.62,%42.76,%41.18,%37.72,%37.27,%15.0,%44.0,%36.71,%40.03,%36.34,%35.63
Q5,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Work",Not very important,%13.33,%9.78,%16.89,%13.32,%12.34,%15.1,%12.89,%13.15,%6.45,%12.94,%15.1,%13.1,%13.79,%12.02,%16.25,%15.07,%12.89,%11.62,%10.68,%10.32,%4.08,%5.98,%11.72,%22.39,%18.42,%13.66,%10.0,%16.0,%10.72,%18.02,%11.37,%14.94
Q5,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Work",Not at all important,%2.48,%1.24,%3.73,%1.82,%2.03,%4.06,%3.21,%1.15,%0,%1.95,%1.56,%2.38,%3.07,%6.25,%4.69,%2.85,%3.12,%1.54,%1.21,%0.98,%2.04,%0.85,%2.76,%5.88,%0.88,%3.11,%0,%0,%1.91,%1.8,%2.66,%5.75
Q6,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion",Very important,%60.0,%59.9,%60.1,%55.4,%58.56,%67.86,%65.4,%50.83,%46.77,%51.95,%53.39,%65.82,%77.01,%72.12,%72.56,%61.64,%59.77,%55.73,%54.61,%57.52,%54.08,%65.38,%63.45,%65.52,%49.12,%52.8,%55.0,%48.0,%58.74,%53.02,%66.47,%70.11
Q6,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion",Rather important,%28.36,%29.33,%27.4,%31.98,%29.01,%23.05,%25.18,%34.1,%32.26,%33.37,%31.25,%26.02,%15.71,%22.12,%20.58,%27.74,%30.86,%30.94,%29.13,%29.79,%38.78,%23.08,%25.52,%24.02,%35.09,%36.02,%40.0,%20.0,%30.54,%29.6,%25.85,%27.59
Q6,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion",Not very important,%10.35,%9.61,%11.09,%11.36,%11.33,%7.47,%8.42,%13.67,%14.52,%13.35,%13.8,%6.8,%6.13,%5.29,%6.14,%9.47,%8.2,%11.79,%14.56,%11.31,%5.1,%9.83,%9.66,%9.97,%14.04,%9.32,%5.0,%24.0,%9.84,%16.22,%6.5,%1.15
Q6,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Religion",Not at all important,%1.04,%0.83,%1.24,%0.84,%0.92,%1.46,%0.8,%1.02,%6.45,%1.03,%1.3,%1.19,%1.15,%0,%0.72,%0.8,%1.17,%1.2,%1.46,%1.08,%2.04,%1.71,%0.69,%0.49,%1.75,%1.24,%0,%8.0,%0.88,%1.03,%0.89,%0.57
Q7,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Good manners",Mentioned,%80.04,%79.29,%80.79,%75.04,%81.58,%83.12,%82.7,%75.48,%72.58,%77.72,%80.99,%81.97,%80.84,%82.69,%84.48,%82.53,%79.69,%78.63,%74.27,%78.66,%71.43,%84.62,%80.0,%85.13,%66.67,%79.5,%70.0,%72.0,%79.15,%74.52,%85.08,%87.93
Q7,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Good manners",Not mentioned,%16.44,%17.48,%15.4,%20.48,%15.47,%13.47,%14.3,%20.18,%24.19,%18.48,%16.67,%15.14,%13.79,%13.46,%12.27,%13.81,%15.62,%19.49,%20.63,%17.6,%21.43,%14.1,%15.86,%12.09,%27.19,%19.25,%20.0,%28.0,%17.18,%22.78,%10.49,%9.77
Q8,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Independence",Mentioned,%29.65,%29.33,%29.97,%31.14,%28.64,%29.71,%28.52,%32.44,%24.19,%31.93,%29.43,%25.51,%32.95,%26.92,%29.6,%27.74,%26.95,%30.26,%33.74,%31.66,%21.43,%24.36,%26.9,%28.76,%35.96,%29.19,%50.0,%44.0,%33.92,%32.56,%25.26,%22.41
Q8,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Independence",Not mentioned,%64.1,%65.29,%62.91,%60.87,%66.02,%64.45,%65.33,%60.92,%70.97,%61.7,%65.89,%68.88,%60.54,%62.98,%61.73,%66.21,%64.84,%64.96,%60.19,%62.83,%70.41,%70.09,%67.59,%63.73,%57.89,%67.08,%45.0,%52.0,%61.67,%63.96,%68.69,%67.24
Q9,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Hard work",Mentioned,%62.28,%63.05,%61.51,%59.19,%63.17,%64.29,%61.92,%62.58,%66.13,%63.35,%60.94,%59.01,%63.6,%67.31,%59.21,%62.1,%60.16,%64.27,%63.35,%64.9,%68.37,%62.39,%64.83,%60.13,%58.77,%53.42,%55.0,%64.0,%65.2,%63.84,%57.75,%56.32
Q9,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Hard work",Not mentioned,%33.66,%33.55,%33.77,%35.48,%33.24,%32.31,%34.34,%32.44,%32.26,%32.14,%36.98,%37.24,%31.42,%27.4,%36.46,%33.9,%34.38,%32.65,%32.28,%31.76,%28.57,%34.62,%32.41,%34.48,%34.21,%44.72,%45.0,%24.0,%31.72,%33.33,%37.96,%37.36
Q10,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Feeling of responsibility",Mentioned,%60.91,%61.14,%60.68,%58.63,%61.05,%63.31,%60.52,%61.17,%56.45,%61.81,%56.25,%60.37,%67.43,%58.65,%53.43,%62.44,%55.86,%60.85,%66.02,%62.05,%52.04,%61.97,%72.41,%58.5,%61.4,%59.01,%45.0,%84.0,%60.21,%60.23,%61.0,%63.79
Q10,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Feeling of responsibility",Not mentioned,%35.57,%35.87,%35.26,%37.59,%34.99,%34.25,%35.67,%35.76,%40.32,%35.11,%39.06,%36.39,%29.89,%36.06,%43.68,%33.56,%38.28,%36.92,%31.07,%34.22,%44.9,%36.32,%25.52,%36.93,%36.84,%39.75,%40.0,%16.0,%37.0,%36.94,%35.6,%32.18
Q11,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Imagination",Mentioned,%17.23,%17.81,%16.64,%18.23,%16.3,%17.69,%16.63,%18.52,%16.13,%19.4,%15.1,%15.14,%19.54,%13.94,%13.0,%15.07,%18.75,%18.46,%21.6,%19.27,%14.29,%14.53,%19.31,%14.05,%23.68,%15.53,%25.0,%16.0,%21.15,%19.82,%10.19,%22.41
Q11,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Imagination",Not mentioned,%72.63,%72.41,%72.85,%71.11,%73.48,%72.89,%73.08,%71.26,%79.03,%70.84,%78.12,%75.17,%66.28,%71.63,%75.45,%74.89,%69.14,%73.33,%67.72,%70.4,%74.49,%78.21,%71.03,%75.98,%65.79,%75.78,%60.0,%80.0,%72.25,%72.46,%77.4,%68.97
Q12,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Tolerance and respect for other people",Mentioned,%63.31,%62.39,%64.24,%64.52,%62.43,%63.47,%63.59,%62.71,%64.52,%63.55,%61.98,%67.18,%64.75,%51.92,%61.37,%61.87,%67.19,%64.62,%63.59,%64.6,%55.1,%66.67,%60.69,%63.07,%66.67,%55.28,%75.0,%76.0,%66.81,%56.5,%66.77,%63.22
Q12,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Tolerance and respect for other people",Not mentioned,%31.72,%33.39,%30.05,%29.59,%33.61,%30.84,%31.6,%31.8,%33.87,%31.31,%33.85,%29.25,%29.12,%39.9,%31.05,%33.11,%28.12,%31.45,%32.04,%31.86,%35.71,%32.05,%33.79,%30.23,%26.32,%38.51,%15.0,%20.0,%30.25,%39.64,%27.18,%29.89
Q13,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Thrift, saving money and things",Mentioned,%36.36,%36.29,%36.42,%32.26,%36.74,%40.42,%36.27,%34.74,%43.55,%33.57,%42.71,%36.9,%34.87,%37.98,%41.88,%37.44,%31.64,%33.33,%37.14,%33.63,%35.71,%36.32,%49.66,%36.93,%36.84,%38.51,%50.0,%36.0,%35.54,%34.62,%39.44,%43.1
Q13,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Thrift, saving money and things",Not mentioned,%56.11,%56.75,%55.46,%57.92,%57.09,%52.27,%56.18,%57.34,%50.0,%58.52,%51.82,%56.63,%56.7,%50.48,%47.29,%56.51,%58.59,%59.15,%56.31,%59.29,%54.08,%57.26,%44.14,%56.05,%52.63,%56.52,%25.0,%60.0,%58.88,%60.88,%52.58,%47.7
Q14,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Determination, perseverance",Mentioned,%38.39,%38.44,%38.33,%38.29,%38.4,%38.47,%38.61,%37.42,%46.77,%36.14,%40.36,%40.99,%39.85,%36.06,%35.38,%38.93,%32.81,%39.83,%40.29,%36.09,%25.51,%48.29,%41.38,%39.71,%41.23,%37.27,%35.0,%32.0,%40.09,%39.25,%37.22,%40.8
Q14,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Determination, perseverance",Not mentioned,%53.29,%53.27,%53.31,%53.02,%53.5,%53.25,%52.97,%53.51,%50.0,%55.54,%53.39,%51.7,%47.89,%53.85,%53.79,%54.22,%56.64,%51.79,%51.21,%55.95,%62.24,%44.87,%52.41,%52.12,%49.12,%56.52,%30.0,%60.0,%55.21,%54.57,%53.47,%48.28
Q15,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Religious faith",Mentioned,%40.62,%40.27,%40.98,%36.89,%41.44,%43.51,%44.69,%33.72,%32.26,%33.78,%43.75,%39.97,%53.26,%52.88,%49.46,%42.35,%44.14,%37.09,%33.74,%37.36,%33.67,%39.74,%38.62,%47.22,%30.7,%49.69,%30.0,%20.0,%35.24,%42.34,%44.61,%42.53
Q15,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Religious faith",Not mentioned,%50.81,%51.12,%50.5,%52.73,%50.64,%48.86,%47.43,%56.45,%59.68,%57.08,%51.04,%52.55,%35.63,%35.1,%40.07,%50.46,%45.7,%54.87,%56.07,%54.18,%52.04,%52.99,%53.1,%45.26,%57.89,%44.1,%45.0,%72.0,%56.98,%52.12,%45.79,%48.85
Q16,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Not being selfish (unselfishness)",Mentioned,%25.18,%26.43,%23.92,%28.05,%25.41,%21.43,%25.05,%25.8,%22.58,%25.67,%24.22,%27.72,%25.67,%16.83,%18.77,%23.86,%28.52,%26.15,%28.88,%26.55,%31.63,%20.51,%26.21,%21.9,%32.46,%25.47,%20.0,%12.0,%24.96,%29.47,%22.16,%21.26
Q16,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Not being selfish (unselfishness)",Not mentioned,%64.51,%64.04,%64.98,%59.47,%65.56,%68.51,%65.13,%62.58,%70.97,%63.76,%67.97,%62.76,%62.07,%69.71,%66.79,%66.78,%60.16,%65.64,%59.47,%63.72,%54.08,%73.08,%66.21,%66.67,%50.88,%67.08,%60.0,%72.0,%67.4,%63.58,%65.58,%69.54
Q17,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Obedience",Mentioned,%34.08,%35.54,%32.62,%35.62,%34.81,%31.01,%35.34,%32.31,%35.48,%32.03,%35.42,%37.41,%30.65,%36.06,%31.41,%37.9,%31.25,%33.16,%30.58,%33.04,%28.57,%40.17,%33.79,%33.99,%34.21,%36.65,%15.0,%40.0,%37.74,%32.95,%33.38,%31.61
Q17,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five! Obedience",Not mentioned,%55.69,%54.52,%56.87,%53.72,%55.34,%58.6,%54.24,%57.6,%58.06,%58.73,%56.25,%53.74,%54.41,%47.6,%54.51,%53.2,%57.42,%57.78,%58.01,%57.33,%59.18,%53.42,%54.48,%55.23,%49.12,%56.52,%65.0,%52.0,%54.63,%60.23,%54.36,%57.47
Q18,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Drug addicts,Mentioned,%88.86,%87.9,%89.82,%85.83,%88.95,%92.21,%90.38,%87.1,%80.65,%86.34,%88.54,%90.99,%94.64,%87.98,%85.92,%89.04,%91.8,%88.89,%88.59,%88.69,%81.63,%89.32,%92.41,%89.38,%86.84,%88.82,%100.0,%92.0,%88.11,%86.1,%91.58,%92.53
Q18,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Drug addicts,Not mentioned,%10.43,%11.27,%9.6,%13.32,%10.31,%7.31,%9.15,%12.13,%16.13,%12.83,%10.42,%8.5,%5.36,%11.06,%13.36,%10.27,%7.81,%10.26,%10.68,%10.62,%17.35,%8.55,%6.9,%10.29,%13.16,%11.18,%0,%8.0,%10.72,%13.51,%7.98,%7.47
Q19,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? People of a different race,Mentioned,%41.2,%39.19,%43.21,%36.04,%41.62,%46.43,%44.62,%35.38,%33.87,%35.42,%43.49,%46.43,%48.66,%39.9,%52.71,%43.38,%41.41,%38.97,%32.28,%40.41,%26.53,%34.62,%40.0,%47.71,%38.6,%43.48,%55.0,%28.0,%35.39,%39.12,%48.15,%54.02
Q19,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? People of a different race,Not mentioned,%57.18,%59.49,%54.88,%62.13,%56.81,%52.11,%53.91,%62.96,%62.9,%62.73,%55.73,%52.38,%49.81,%56.73,%44.77,%54.79,%56.64,%60.0,%66.5,%58.01,%69.39,%64.53,%58.62,%50.98,%61.4,%54.66,%45.0,%72.0,%63.29,%60.1,%50.37,%43.1
Q20,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? People who have AIDS,Mentioned,%70.68,%69.76,%71.61,%68.02,%70.35,%74.35,%72.95,%67.31,%61.29,%67.25,%68.23,%79.08,%71.65,%66.35,%76.9,%74.43,%69.53,%65.47,%66.75,%71.19,%56.12,%68.8,%69.66,%73.37,%64.91,%73.91,%85.0,%56.0,%63.14,%73.23,%74.89,%83.33
Q20,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? People who have AIDS,Not mentioned,%25.13,%26.1,%24.17,%28.05,%25.41,%21.27,%23.05,%28.86,%27.42,%28.85,%27.6,%18.03,%22.61,%26.44,%19.13,%20.78,%24.61,%31.62,%29.37,%24.58,%32.65,%28.63,%26.21,%22.88,%34.21,%21.74,%10.0,%32.0,%33.92,%24.07,%20.24,%13.22
Q21,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Immigrants/foreign workers,Mentioned,%48.07,%47.39,%48.76,%44.46,%47.79,%52.76,%51.57,%42.02,%43.55,%42.61,%42.97,%56.46,%57.09,%48.08,%56.32,%49.77,%46.48,%47.01,%41.26,%46.41,%37.76,%46.58,%50.34,%52.61,%44.74,%49.69,%60.0,%32.0,%44.93,%46.33,%51.26,%64.94
Q21,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Immigrants/foreign workers,Not mentioned,%49.23,%49.88,%48.59,%51.89,%49.54,%45.62,%46.09,%54.79,%50.0,%53.7,%55.21,%41.84,%41.38,%48.08,%41.88,%47.37,%51.95,%49.57,%56.07,%50.54,%56.12,%51.28,%48.28,%45.42,%52.63,%48.45,%35.0,%64.0,%52.72,%52.12,%46.53,%32.76
Q22,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Homosexuals,Mentioned,%75.78,%75.72,%75.83,%69.99,%76.61,%81.01,%80.56,%68.2,%54.84,%67.97,%75.0,%82.31,%85.82,%82.69,%85.2,%77.63,%79.69,%72.14,%68.45,%75.12,%67.35,%75.64,%78.62,%78.43,%73.68,%74.53,%75.0,%56.0,%69.75,%74.26,%82.72,%87.93
Q22,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Homosexuals,Not mentioned,%20.7,%20.8,%20.61,%24.82,%19.89,%17.37,%16.7,%26.95,%40.32,%27.1,%22.66,%15.65,%10.73,%13.94,%13.0,%18.84,%19.14,%23.08,%27.18,%21.24,%21.43,%21.79,%20.69,%18.63,%25.44,%21.12,%15.0,%40.0,%27.46,%23.17,%14.48,%9.2
Q23,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? People of a different religion,Mentioned,%41.45,%40.6,%42.3,%38.71,%41.16,%45.13,%44.89,%36.91,%19.35,%37.06,%38.02,%48.47,%47.89,%40.38,%53.43,%43.49,%40.62,%39.66,%32.77,%42.28,%24.49,%38.03,%37.24,%45.92,%36.84,%42.24,%55.0,%44.0,%36.86,%39.12,%47.12,%54.02
Q23,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? People of a different religion,Not mentioned,%56.4,%57.42,%55.38,%58.49,%56.72,%53.41,%53.17,%60.54,%77.42,%60.37,%59.9,%50.34,%49.04,%57.69,%44.04,%54.0,%57.81,%58.8,%65.05,%55.36,%69.39,%61.11,%62.07,%52.29,%63.16,%54.66,%40.0,%56.0,%61.67,%59.72,%50.96,%40.8
Q24,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Heavy drinkers,Mentioned,%72.55,%69.93,%75.17,%67.46,%73.2,%77.27,%76.62,%65.64,%64.52,%65.3,%71.35,%79.42,%81.23,%78.37,%78.34,%74.54,%72.27,%68.03,%71.12,%71.58,%57.14,%73.5,%75.17,%76.31,%69.3,%71.43,%80.0,%60.0,%72.1,%66.41,%77.99,%83.91
Q24,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Heavy drinkers,Not mentioned,%25.38,%28.17,%22.6,%29.73,%24.95,%21.1,%21.58,%32.06,%30.65,%32.03,%27.08,%19.22,%16.86,%19.23,%18.77,%22.95,%27.34,%29.74,%27.43,%26.35,%36.73,%25.64,%22.76,%22.06,%29.82,%25.47,%15.0,%40.0,%26.14,%31.66,%20.38,%13.79
Q25,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Unmarried couples living together,Mentioned,%55.36,%53.19,%57.53,%49.51,%56.26,%60.55,%60.92,%46.49,%33.87,%46.3,%50.52,%64.8,%66.28,%66.35,%66.43,%58.11,%58.2,%51.28,%46.36,%53.49,%40.82,%55.13,%58.62,%61.6,%48.25,%54.66,%65.0,%40.0,%49.19,%48.78,%66.91,%70.11
Q25,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? Unmarried couples living together,Not mentioned,%40.46,%42.92,%38.0,%45.16,%40.06,%35.71,%35.27,%48.66,%58.06,%48.87,%46.35,%31.63,%30.65,%27.4,%28.88,%36.76,%39.45,%44.96,%50.24,%42.48,%51.02,%41.45,%37.93,%34.97,%48.25,%40.37,%30.0,%52.0,%48.46,%47.75,%29.54,%24.14
Q26,On this list are various groups of people. Could you please mention any that you would not like to have as neighbors? People who speak a different language,Mentioned,%35.9,%33.64,%38.16,%30.72,%35.45,%42.69,%39.48,%30.4,%24.19,%31.01,%33.59,%43.37,%41.76,%34.62,%45.85,%39.04,%33.59,%33.16,%28.4,%35.4,%21.43,%29.06,%37.93,%41.67,%33.33,%36.02,%55.0,%24.0,%32.01,%32.95,%40.77,%51.15
