Cinsiyet,Yaş Grubu,Medeni Durum,Çocuk Sahipliği,Eğitim Düzeyi,İş Durumu,Sosyal Sınıf,Yerleşim Yeri,Bölge,Count,Prompt
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kent merkezinde,"TR90: Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",1,"Adem, 20 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Gümüşhane şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kırsal alanda,"TR21: Tekirdağ, Edirne, Kırklareli",1,"Salih, 27 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Edirne şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kırsal alanda,"TR33: Manisa, Afyon, Kütahya, Uşak",1,"Musa, 29 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Manisa şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kırsal alanda,"TR71: Kırıkkale, Aksaray, Niğde, Kırşehir, Nevşehir",1,"Recep, 29 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Kırşehir şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kırsal alanda,"TR90: Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",1,"Yaşar, 19 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Rize şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,TR10: İstanbul,2,"Osman, 28 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, İstanbul şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,TR31: İzmir,2,"Musa, 26 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, İzmir şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR32: Aydın, Denizli, Muğla",1,"Hakan, 23 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Muğla şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR33: Manisa, Afyon, Kütahya, Uşak",1,"Yusuf, 29 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Kütahya şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR42: Kocaeli, Sakarya, Düzce, Bolu, Yalova",1,"Ramazan, 23 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Bolu şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,TR51: Ankara,1,"İsmail, 27 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR62: Adana, Mersin",1,"Hüseyin, 25 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Mersin şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR71: Kırıkkale, Aksaray, Niğde, Kırşehir, Nevşehir",1,"Mehmet, 27 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Niğde şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR72: Kayseri, Sivas, Yozgat",1,"Salih, 25 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Kayseri şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR90: Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",1,"Ömer, 21 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Ordu şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TRB1: Malatya, Elazığ, Bingöl, Tunceli",1,"Kadir, 21 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Malatya şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
